state,county,isMetro,parents_count,children_count,housing_cost,food_cost,transportation_cost,childcare_cost,median_family_income
OH,Harrison County,False,1,4,10956.0,10389.64,13168.24,13587.3,59927.62
WI,Rusk County,False,2,2,8808.0,8964.66,11688.36,15340.24,59720.2
AR,Lawrence County,False,2,2,7848.0,8335.03,11925.93,9122.01,52272.63
NC,Wayne County,True,2,3,12348.0,10213.05,10792.98,14924.75,56049.3
AR,Chicot County,False,2,2,7848.0,8724.8,12604.13,9222.83,43640.11
GA,Thomas County,False,1,0,7128.0,3496.42,12460.11,0.0,57419.09
VA,Charlotte County,False,2,0,6672.0,5630.24,14893.64,0.0,58828.92
MN,Crow Wing County,False,2,1,9504.0,7267.8,16181.04,6896.77,72080.11
KS,Wallace County,False,2,0,6540.0,5934.57,9599.65,0.0,81290.73
IL,Ogle County,False,2,2,9576.0,8365.02,14063.45,12309.68,76971.91
ND,Stutsman County,False,1,2,8808.0,7168.96,14541.14,12096.84,78251.34
PA,Perry County,True,1,4,12348.0396,12218.8,13775.13,19617.06,77354.91
PA,Berks County,True,1,0,7536.0,3299.29,12832.2,0.0,79812.11
IN,Martin County,False,1,2,8784.0,5959.2,12224.84,13023.75,68044.68
TX,Lee County,False,2,0,9384.0,6029.68,13111.0,0.0,65548.47
NY,Washington County,True,2,1,11524.92408,9090.67,13942.96,10448.74,70658.98
IL,Marion County,False,1,2,8400.0,6541.68,12140.84,11799.86,62271.87
KY,Nicholas County,False,2,0,6036.0,5230.79,13495.34,0.0,50161.48
MO,Newton County,True,2,4,11375.29908,11691.98,13476.2,14265.57,64006.18
MS,Calhoun County,False,2,2,8208.0,9294.46,14121.26,4178.55,46742.15
GA,Fulton County,True,2,4,18532.4112,16574.84,11305.49,14304.22,98122.47
WI,Waupaca County,False,1,2,8808.0,6026.41,13401.32,15510.0,74928.52
SD,Sanborn County,False,2,3,10848.0,11567.47,11260.74,13185.75,72859.47
PA,Fayette County,True,2,0,7473.0498,5535.13,14115.02,0.0,64465.16
ME,Somerset County,False,2,0,7272.0,6410.1,11993.93,0.0,56635.62
AK,Lake and Peninsula Borough,False,1,1,9912.0,4881.53,12215.76,9167.34,49140.81
GA,McIntosh County,True,1,0,7723.6458,3309.67,13114.15,0.0,70091.15
VA,Hanover County,True,2,2,14520.2172,9714.21,14867.96,16890.46,107879.38
AL,Cherokee County,False,2,1,7608.0,7693.93,13979.07,4871.89,57031.97
MO,Pulaski County,False,1,0,6552.0,3278.54,14627.14,0.0,66286.76
MN,Carlton County,True,2,3,13802.4744,11896.92,12916.73,22059.69,79121.05
MN,Isanti County,True,1,2,14474.4612,6653.69,9980.09,23068.07,86892.07
NY,Dutchess County,True,2,4,21993.7644,15992.48,14944.16,35781.11,104990.91
MS,Jackson County,True,1,3,13596.0,9982.12,14586.97,9445.98,67562.07
TX,Cochran County,False,1,0,6456.0,3174.79,15000.75,0.0,59858.82
KY,Whitley County,False,2,0,6984.0,5135.69,12213.98,0.0,50891.55
VA,Chesapeake city,True,1,3,20809.9848,9085.53,14961.12,19628.62,92981.15
MI,Oscoda County,False,2,3,12360.0,10579.11,13982.25,15905.2,50802.22
VT,Orleans County,False,1,0,7104.0,3662.42,13398.1,0.0,60752.16
KS,Osage County,True,2,2,8508.46068,9204.52,14967.82,13813.38,67287.91
OR,Josephine County,True,1,4,18996.0,11889.55,13721.1,20388.51,55987.69
TX,Zavala County,False,1,4,10956.0,8889.72,11093.31,9209.17,37248.11
GA,Banks County,False,1,2,8208.0,6900.13,16847.18,8102.62,57068.94
NC,Jones County,True,1,1,8316.0,4633.0,12280.26,7611.78,52802.48
MO,Buchanan County,True,1,1,9952.32492,4281.32,13738.62,7053.29,65332.83
VA,Orange County,False,2,2,10836.0,9984.05,12547.13,12260.13,85721.49
OH,Adams County,False,2,1,8808.0,6344.53,14077.24,6785.35,50041.34
NY,Bronx County,True,2,2,20096.0628,10074.0,13563.04,32258.55,48566.82
KY,Washington County,False,1,2,8088.0,5981.6,14097.94,10883.3,66418.19
